,V1
1,-343.505365424806
2,-334.669080546009
3,-364.395243719819
4,-425.611791846213
5,-93.7558810385084
6,-133.077470463606
7,-92.4715275641592
8,-48.9186175949656
9,-76.8454818441632
10,-83.9656557715624
11,-436.263517319513
12,-433.061044825098
13,-474.44685767305
14,221.001581546848
15,783.52579689633
16,661.863248446008
17,957.104081320728
18,896.638422662971
19,85.3564290947911
20,171.185542096519
21,-435.687566432723
22,452.821959365554
23,418.295983869374
24,379.683067651524
25,370.559600390932
26,555.518407722218
27,538.703235688568
28,529.801871298666
29,196.985055294638
30,220.063655836941
31,176.252181828004
32,-335.829576035605
33,-296.292653275168
34,-333.553077892486
35,1047.57946244269
36,615.072564917379
37,483.701254592965
38,67.129844069491
39,-994.309799443766
40,-594.307231374501
41,-1328.61365770384
42,-2169.26214924358
43,-324.799324095905
44,-312.990307981026
45,-330.738561437831
46,-389.639161130163
47,-129.831459005395
48,-150.02642434509
49,-111.594671023434
50,-33.6266466339959
51,-57.9811429697662
52,-60.0052809585873
53,-386.949510463161
54,-380.127072972972
55,-426.868464090238
56,-7.68167457024157
57,818.259725066088
58,778.983945003173
59,1039.44977295925
60,855.552925932412
61,158.494009127733
62,135.768031537537
63,-683.648707948376
64,383.004343852874
65,355.189808709216
66,314.431701291441
67,308.152920626803
68,525.266078928266
69,507.029290946306
70,505.07111358857
71,179.682991134993
72,203.020123369161
73,158.43709836923
74,-344.027883181397
75,-282.578946010131
76,-337.440351208443
77,1112.63843062633
78,688.341524576943
79,471.89879824264
80,238.342858739391
81,-968.592571334533
82,-573.387544798213
83,-1387.56034646922
84,-2056.91944000022
85,-366.588779472131
86,-343.510908860965
87,-364.646265305747
88,-418.199852313352
89,-147.887130027236
90,-181.951350547741
91,-139.047277709033
92,-55.3473195796447
93,-78.5034661962537
94,-78.0053306350814
95,-420.075078016646
96,-421.818331553871
97,-448.677074972223
98,93.1472807947645
99,922.089009673464
100,803.981488260516
101,1021.68284926606
102,797.719245342816
103,67.8347607956416
104,215.773790095827
105,-457.970259039172
106,404.082559971242
107,383.583996941495
108,352.637531095319
109,347.100464990841
110,549.931519822374
111,525.289368724864
112,523.572211969378
113,193.461827288511
114,221.821865671141
115,171.792735871924
116,-361.982506750315
117,-330.549773034937
118,-360.838085819699
119,1180.62566544649
120,627.059987998029
121,428.603915784697
122,100.541839199506
123,-1096.09040739944
124,-584.42540111073
125,-1228.40136316135
126,-2047.81795349934
127,-359.676928987548
128,-353.256253398665
129,-391.011264374856
130,-462.611152359808
131,-87.7602982333781
132,-119.311979055234
133,-88.2233850592358
134,-34.1039078371644
135,-51.2122053135653
136,-54.4809833952931
137,-419.834625358618
138,-419.37153853276
139,-451.046709174846
140,279.682787677808
141,770.555331141657
142,736.454821700417
143,981.513219662988
144,930.309370120067
145,-83.0738341529674
146,166.825390165302
147,-490.365855234311
148,373.951348595117
149,330.486189961841
150,285.613663466905
151,286.550935536482
152,491.736080538765
153,478.774575036055
154,473.008830249029
155,135.623185633566
156,151.037200236155
157,119.886861330043
158,-155.906948472537
159,-137.179698182801
160,-155.135137096107
161,1003.58586135719
162,646.655474003171
163,480.099643669566
164,84.2748568113862
165,-773.940750889811
166,-329.134931252827
167,-1539.58831313935
168,-2250.39892739184
169,-402.558507618088
170,-356.515009601182
171,-402.601030820595
172,-472.720648508286
173,-151.61610872276
174,-183.502703386258
175,-150.8236400359
176,15.7863568841817
177,-3.92450614305796
178,-16.6598860669514
179,-436.486551580354
180,-434.592708486571
181,-473.092114028322
182,246.527483130428
183,806.181677515021
184,773.710833529725
185,957.542357758944
186,1070.59621187618
