"accession","year","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","x21","y21","x1_adjusted","y1_adjusted","x2_adjusted","y2_adjusted","x3_adjusted","y3_adjusted","x4_adjusted","y4_adjusted","x5_adjusted","y5_adjusted","x6_adjusted","y6_adjusted","x7_adjusted","y7_adjusted","x8_adjusted","y8_adjusted","x9_adjusted","y9_adjusted","x10_adjusted","y10_adjusted","x11_adjusted","y11_adjusted","x12_adjusted","y12_adjusted","x13_adjusted","y13_adjusted","x14_adjusted","y14_adjusted","x15_adjusted","y15_adjusted","x16_adjusted","y16_adjusted","x17_adjusted","y17_adjusted","x18_adjusted","y18_adjusted","x19_adjusted","y19_adjusted","x20_adjusted","y20_adjusted","x21_adjusted","y21_adjusted","width","height","image_size","px2_cm2","all_area","convex_area","a_mid","a_distal","a_proximal","a_mid_branch","a_distal_branch","a_petiolar","veins","r1","r2","r3","r4","r5","r6","r7","blade","veins_to_blade","solidity","sinus_dist","sinus_prox","distal_lobing","proximal_lobing","px_cm","midvein_length","distal_length","proximal_length","petiolar_length","dist_branch_length","mid_branch_length","pop"
"16118070",2018,2338,5177.667,2340,5147,2308.667,5119,2255.333,5121,2566,5225,2530,5217,2563,5203,2547,4914,2527,4938,2514,4902,2134,4524,2143,4557,2102,4532,2911,5592,3319,5136,3195,5044,3379,4644,3159,3754,2535,4222,2491,3586,1843,2970,-337.179632349423,441.622209310292,-328.436472806157,407.897377312916,-357.37854605712,370.059944000436,-417.194527570652,360.954845880021,-93.3433220615448,542.77541073922,-131.731951066953,526.217705664521,-92.0095376057854,517.639487711744,-48.420848796967,192.418749538728,-75.7916474082519,214.894843525563,-82.6188673193156,172.044203223418,-425.458449434689,-329.625603318439,-422.448070764236,-290.965573499352,-462.792434668895,-327.516315776035,212.858629090134,1024.7592853654,764.083702685562,603.662848011177,645.549147498197,474.867490892808,935.436324454185,68.5360663354104,879.555684322247,-969.284206169899,85.2502329894044,-580.719927875979,171.388446577597,-1298.29806063797,-419.317859707336,-2121.94078023399,8424,12240,"8424 x 12240",81234.12,23.7903353726242,27.6370441201309,0.638923133530637,0.422566188936424,0.175651130337869,0.124473558647524,0.0896667557917781,0.0643325735540682,1.5156133407983,1.88994476705109,0.915311201746261,2.74600131077926,4.92330070172484,3.38257766564097,3.32283063446739,5.0947557504162,22.274722031826,0.0680418520434418,0.860813308008408,4.43212778078965,0.585419033283059,0.575249789927161,0.879598969032439,285.015999550902,7.69908070468189,5.65556727212891,3.43964458264351,1.82111602449306,3.11550393419245,3.57000993773885,"pop1"
"16118070",2018,5851,4435.5,5861.5,4411.5,5846.5,4376,5795.5,4370,6018.667,4560.667,6001.333,4544.667,6034.667,4543.333,6105.333,4262,6084,4282,6082.667,4243.333,5804,3804.667,5809.333,3858,5769.333,3810,6119,5071,6839,4711,6807,4523,7035,4323,6887,3275,6279,3611,6267,2905,5563,2317,-318.8397520537,373.482928358101,-307.202801851425,346.322025372262,-324.427267785698,306.409133008863,-382.003877107323,300.08015466078,-128.644629617651,513.221782025389,-148.333983987006,495.323818621163,-110.746666213424,493.532427656034,-33.459416968804,175.597522914791,-57.3497595955079,198.339839524461,-59.1858936194455,154.737202727721,-377.279003952142,-337.655339468545,-370.804957726183,-277.54472242688,-416.335470546881,-331.341846043296,-11.0853523629325,1087.98439939801,797.935825904008,675.732595186869,760.224653674539,463.954892711817,1015.67497735165,236.405544809361,839.725464799953,-944.403833411634,156.827268577298,-560.185969220095,137.219421011406,-1356.40924051127,-661.908777930724,-2013.58331589389,8424,12240,"8424 x 12240",81234.12,25.5030982393854,27.4960539087515,0.628273703765229,0.350617619172779,0.163485609729063,0.181519188679577,0.122452566729332,0.0445673826588624,1.49091607073484,2.48392941291181,1.54608212041933,2.13456488480456,5.941241291221,2.71917670493635,3.61311636662027,5.5740713877371,24.0121821686504,0.0620899866685726,0.927518484071206,3.30747720292902,1.3145215335625,0.580111428715358,0.931235441844504,285.015999550902,7.27020418818004,5.34259381573216,3.59257142760415,1.85838620494126,3.30407944073718,3.62929932266067,"pop1"
"16118070",2018,9563,4413,9584.334,4393.667,9564.334,4365,9514.334,4360.333,9768.334,4547,9736.334,4524.333,9776.334,4522.333,9851.334,4213.667,9830,4240.333,9830,4193.667,9506,3699,9504.666,3728.333,9479.334,3700.333,9999,5133,10767,4609,10655,4425,10855,4117,10635,3003,9959,3487,10091,2885,9455,2127,-359.659957802329,393.790275909698,-337.034427431797,373.828478040783,-357.592961856573,343.509350460961,-409.923240832403,337.921802873393,-146.356959923501,537.071991669826,-179.574010535875,512.873032047038,-137.629864741332,511.334792389597,-54.7342628337757,188.92708048183,-77.4620104024993,216.573178018619,-76.8115170476802,167.671564995159,-409.437947923538,-355.209634517064,-411.244738163761,-324.489983021718,-437.400008535665,-354.184481421434,87.1910271280038,1154.36063719184,899.287571077403,615.962953057952,784.486862181402,421.5869179991,998.361515204508,101.619529745084,783.350473591928,-1068.81516459758,68.2189176927405,-571.05132806784,214.934083310061,-1200.05115486437,-440.968542155326,-2003.22983839087,8424,12240,"8424 x 12240",81234.12,29.6153937252231,32.9723082828002,0.554332034371727,0.400102930886639,0.22993822463963,0.0989358227799176,0.152038723248243,0.0832377686739903,1.51858550460015,3.51402208825569,1.87309356927832,2.84917441847085,7.01275931837502,3.5755070050738,3.35642482630441,5.91582699486373,28.0968082206218,0.0540483279337605,0.898189883195764,4.18769846955934,0.830783911981813,0.555644482971763,0.891037307024888,285.015999550902,7.84958235749849,6.09655286603882,4.24862548648661,2.26745013033146,3.5797291320378,3.56028571400576,"pop1"
"16113001",2018,2512.667,2608.333,2518.667,2573.667,2489.333,2537,2432,2536.333,2728,2708,2703,2697,2728,2693,2778,2424,2764,2436,2762,2411,2475,2183,2475,2198,2450,2183,3012,3125,3412,2849,3388,2715,3592,2403,3568,1715,2748,2051,2972,1087,2460,505,-352.695269033997,364.459027233216,-346.289436938182,321.99158432837,-383.060539883756,278.016629328741,-453.051257010024,278.719131688134,-87.2519409287991,480.403459993101,-118.054601590549,467.63960750426,-87.6487161645541,462.096444699783,-33.7408344146999,132.468052987103,-50.5099618331925,147.483988775128,-53.6121892652264,117.025199984366,-409.91739879418,-153.649799629953,-409.520623558425,-135.342784336635,-440.42909094971,-152.988507570362,270.391233512003,981.826207350374,751.277643662584,634.396452999863,718.441893753866,471.488623423433,959.164376839284,85.3065621161571,911.674394890017,-753.740365626808,-80.2213425304416,-321.972843501888,167.663997365254,-1504.42886987305,-472.610337127282,-2201.19780187334,6124,8419,"6124 x 8419",81796,18.9962568986015,22.9135144662086,0.433118073554919,0.257290233562761,0.131948645276072,0.0455706880532055,0.0579123673529268,0.0446293217272238,0.970469329527109,1.49875299525649,0.990674690693921,2.48151569147635,3.42642672013301,2.44405667758815,1.98602591202505,5.19833488190132,18.0257875690743,0.0538378323725551,0.829041608899235,4.52682282752213,0.60956525991491,0.40595793023538,0.942176118902699,286,7.10372940323285,4.74064035514696,3.26127795054561,1.80474628399442,2.87218129646703,4.23166674003273,"pop5"
"16113001",2018,4775,4225,4809,4210,4778,4187,4729,4175,4949,4285,4927,4276,4951,4267,5089,4025,5074,4037,5067,4011,4797,3646,4795,3688,4771,3645,5201,4682,5627,4340,5612,4238,5759,4037,5885,3467,5102,3686,5303,2897,4799,2417,-394.908000115019,443.342174273466,-349.82248548695,419.18138970193,-394.785648580366,390.874626139307,-463.2960406894,379.556872810865,-149.798232097615,507.395141405754,-180.937753788058,497.356165040006,-148.945714122485,482.481227793361,15.0076105286811,135.846435408153,-4.31721316195975,153.892482136102,-16.6575590835993,118.945332808055,-425.584674032539,-353.604894520302,-423.914081982854,-295.752774983031,-461.372860035525,-352.243950573623,237.789375107421,1025.75530915256,786.488212420398,511.600671782581,755.178616111887,373.190240367358,935.794080943942,81.878716844511,1048.7957989602,-713.650001501627,-2.78979036252042,-330.772407877527,190.120442192547,-1434.74697411573,-552.044082726194,-2040.52578209218,6124,8419,"6124 x 8419",81796,15.602731184899,18.9451623551274,0.441531370727175,0.269560858721698,0.118514352780087,0.120751625996381,0.0502469558413614,0.0395251601545308,1.04013032422123,1.56062643650056,0.67027727517238,1.7361729179911,2.34370873881363,2.04517947087877,2.41442124309257,3.79221477822876,14.5626008606778,0.0714247636237709,0.823573368885711,3.45889774561103,0.116466575382659,0.451810719933409,0.97008491591746,286,6.16988359435578,4.5942306328513,2.95083196514435,1.67821696205954,2.36897401309358,3.22352023315044,"pop5"
"16113001",2018,6946.667,2377.667,6969.333,2355,6950,2332.333,6908,2324.333,7115.333,2511,7099.333,2493.667,7126,2491,7183.333,2252.333,7156.667,2268.333,7164.667,2240.333,6911.333,1873,6911.333,1906.333,6876.667,1871.667,7213,2906,7654,2765,7684,2630,7921,2447,8005,1799,7102,2093,7216,1229,6850,929,-323.360046110877,302.357936250605,-293.938296156949,265.971207338219,-325.485305281473,236.035875476926,-387.684382823882,230.874052660152,-58.0313277666457,470.005171165422,-83.9205682328918,447.301079442065,-45.6185128884835,439.333197215733,0.948935961525213,84.0602438095347,-35.3036075935234,111.383110997317,-27.991267890268,69.507437038285,-452.174478094072,-424.825260359817,-447.05425099571,-376.436688099477,-502.702888639146,-421.435351687667,144.42438851462,1028.41301992846,762.952824177197,755.986030486007,785.765847593371,555.402102603828,1101.70170895299,253.341005614243,1124.10392027901,-700.245347278158,-141.5947562328,-134.745532849201,-108.821797762389,-1406.50122007047,-686.216139009584,-1785.78206968201,6124,8419,"6124 x 8419",81796,12.4677076561753,16.4713080767337,0.4033636282153,0.184220956201965,0.147451759389216,0.0620780057154526,0.103878320590328,0.0282846220414066,0.929277292153667,1.14899290307594,0.816734846447262,1.80737391124883,3.0219096532838,1.15444944808429,1.58945801207268,1.9995115898088,11.5384303640216,0.0805375829152015,0.75693488325838,4.73590395618368,0.732303535625214,0.239836054524657,0.959538273346177,286,4.90056369566758,4.12140287894817,2.80451617858049,1.45897723734473,2.70577317614029,2.5438167258158,"pop5"
"16113002",2018,2874.333,4460.333,2888.667,4413.667,2852.667,4380,2799.333,4382,3030,4511,2996,4501,3033,4482,3223,4123.667,3197,4160.333,3195.667,4115,2652,3730.667,2669.333,3773.333,2622,3735.333,3519,5108,4227,4460,3537,4286,4209,3614,3789,2738,2979,3866,2925,2750,2193,2306,-352.26191926843,395.681992565893,-326.519937176283,353.543157158743,-353.361332311811,311.528521897585,-406.128110225938,300.122225933345,-212.411266688278,484.346250180185,-243.224001964713,466.025717077881,-202.203569713779,456.679053313872,73.7932758905725,153.14119930163,39.125137559921,182.556707369051,49.1799114014744,137.797803330007,-387.276607066633,-375.086169389022,-380.983525066166,-328.931018107789,-417.844975170246,-378.032054366468,117.17614753625,1191.9365297335,973.390318441746,734.352508211346,340.819989191102,390.914846853027,1167.7700825886,-99.2104706466923,975.721593830875,-1062.91915057454,-100.743755900848,-160.51364833134,126.022894183579,-1267.68976176867,-480.040350070997,-1886.24423974154,12240,8424,"12240 x 8424",81234.12,29.3999675013406,39.2377548744296,0.632955959066218,0.48877631098856,0.289947629148954,0.17631580862206,0.140958836016189,0.0948369970647802,1.82379154090676,4.5519542773406,1.75828272651931,2.6947363196093,6.63388819870267,3.62479541232185,3.14806199729251,5.16445702864759,27.5761759604338,0.0661364920039504,0.749277515888147,8.35407584891669,1.48371152417236,0.280020971429509,0.493440456927787,285.015999550902,7.61151678872335,6.65248766278865,4.72147728183176,2.75917690145319,3.96451117017624,3.6358659960486,"pop5"
"16113002",2018,6625,4695.667,6656.333,4663,6625,4616.333,6563,4613,6838,4837,6799.333,4822.333,6850,4807.667,7083.333,4434.667,7056.667,4458.667,7058,4409.333,6589,3953,6586,3980,6547,3950,7376,5508,7988,4944,7316,4728,8140,3976,7892,3166,6840,4242,7168,2922,6444,2456,-394.181457668793,365.358099814139,-361.461344469946,335.657059781622,-388.828534918558,288.092803384323,-448.986942248606,280.663372831029,-196.271816046137,517.377520064157,-232.940909991659,500.483986815872,-182.605533743589,489.619082733719,69.8106257554324,142.089120242976,42.2206070925261,163.664057549273,46.8475732243351,115.706426671688,-379.132570575305,-360.372244334018,-383.8761206742,-334.278712741582,-419.834964023278,-366.127893170573,282.424812307826,1207.18121512595,916.521288549775,699.181637854254,276.61849924399,443.472003687346,1129.87186055621,-233.320980014824,942.992009711625,-1038.93288600984,-154.177384538223,-61.9723870404829,254.334416950275,-1325.42100459764,-419.344114493708,-1828.12027864739,12240,8424,"12240 x 8424",81234.12,30.4296181696129,39.7642672062493,0.789579914203596,0.615996720343602,0.345674318322359,0.0771843161469589,0.0808108328003567,0.111127633314643,2.02037373513152,4.39522210617903,1.45896770278904,3.55615506828294,5.96824146060787,3.25099542532125,3.52454474794583,6.25511792335536,28.4092444344813,0.0711167711549314,0.765250319131511,7.36414698651256,1.97050205012377,0.224156256083728,0.48704316927405,285.015999550902,7.59210633196974,6.78301871514182,4.81756334712594,3.08027498947719,4.10132367387797,4.19265239190245,"pop5"
"16113002",2018,10371.334,5391.667,10399.333,5362.333,10367.334,5317,10311.334,5310.333,10558.333,5549,10534.333,5535.667,10562.333,5530.333,10679.667,5231.667,10642.333,5253,10648,5205,10386,4675,10384,4709,10350,4675,10908,6271,11560,5891,11060,5499,11728,5231,11824,4221,10636,4877,11148,3963,10664,3269,-347.698064993036,371.916257772426,-323.046494918359,336.75915570574,-363.747218736058,294.384336975364,-423.431601833919,296.30097700729,-126.938622392703,506.91822335794,-154.181820676583,496.772828427245,-125.716552302022,486.740679059546,-50.3281985252787,155.433586944525,-86.0234327841561,183.697567487071,-87.7160686576498,132.547082051541,-446.194588711992,-380.67768688236,-442.887091829946,-344.766057888102,-483.882256051186,-374.958709752007,353.817907152001,1207.21706343181,976.01645703035,705.825766823904,390.303326344352,374.879182607585,1047.04432389011,-11.8033610029785,987.095689526377,-1084.40241147799,-152.384860513935,-208.923116884335,238.419044500635,-1247.10767907225,-378.519875517019,-1896.75368469197,12240,8424,"12240 x 8424",81234.12,27.5449456795007,36.0621057102858,0.670377657947035,0.563455279358012,0.215144624912301,0.15070022300974,0.13749878813855,0.0779591745993054,1.81513574796494,3.71529512475797,1.84323593952901,2.34941636661423,6.51667241548261,3.02175026946814,2.90739831981919,5.37604149586405,25.7298099315352,0.0705460224072724,0.763819669899204,6.73505172457091,1.78210830621419,0.282807639321677,0.528976244484446,285.015999550902,7.26374090291636,6.39960101270482,4.4986955645378,2.85417319387945,3.74386066493849,3.70251921445379,"pop5"
"16113003",2018,2901.667,4021,2923,3947.667,2864.333,3923.667,2793.667,3922.333,3245,3966,3197,3984,3236,3942,3380,3360,3353,3390,3338,3342,2786,3165,2795,3204,2729,3165,4605,4410,5103,2964,4797,2802,4815,2298,4293,1386,3873,1470,3621,1182,2649,684,-527.048090470959,452.961462209831,-500.656494669296,413.402363251817,-531.006688450332,388.171247083684,-572.724198370168,374.155719179323,-312.857634571261,484.543837442993,-344.732109441842,486.25173641315,-313.711584056339,468.606600007703,-119.28678285771,149.914195740928,-140.935260880867,162.67825644707,-140.861519468317,131.36515303437,-435.562433871349,-77.0439777952278,-437.51534167567,-52.1985384464064,-469.413601142768,-87.7100354949488,411.736363156002,1002.71500832247,978.069709383424,237.152005866139,826.656449072907,83.683536496236,931.656696292992,-212.263819051137,792.308192897634,-851.561129064971,527.160138498115,-880.267202452402,431.394006307272,-1098.45988165413,-52.6698156814722,-1576.0965375365,12240,8424,"12240 x 8424",81234.12,75.0325026157605,77.1907090442908,1.48869380870993,1.08073843164053,0.546059469155302,0.310288336969736,0.0884849863579491,0.281852009968225,3.79611704280168,13.4652286502273,5.84542439186884,7.81459285827188,11.4673735617497,8.10504735571703,10.115555187894,14.4231635672301,71.2363855729588,0.053289018136859,0.972040593288346,1.71415656376902,0.44404986476126,0.910965116982586,0.918385272314381,285.015999550902,11.3818090673863,10.2044271808882,8.47892722800068,5.09007170234444,6.33303247710426,7.60619603702486,"pop5"
