"accession","year","veins_to_blade","distal_lobing","proximal_lobing","ln_area","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","x21","y21","x1_adjusted","y1_adjusted","x2_adjusted","y2_adjusted","x3_adjusted","y3_adjusted","x4_adjusted","y4_adjusted","x5_adjusted","y5_adjusted","x6_adjusted","y6_adjusted","x7_adjusted","y7_adjusted","x8_adjusted","y8_adjusted","x9_adjusted","y9_adjusted","x10_adjusted","y10_adjusted","x11_adjusted","y11_adjusted","x12_adjusted","y12_adjusted","x13_adjusted","y13_adjusted","x14_adjusted","y14_adjusted","x15_adjusted","y15_adjusted","x16_adjusted","y16_adjusted","x17_adjusted","y17_adjusted","x18_adjusted","y18_adjusted","x19_adjusted","y19_adjusted","x20_adjusted","y20_adjusted","x21_adjusted","y21_adjusted","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42"
16118070,2018,0.0680418520434418,0.575249789927161,0.879598969032439,3.16927942142543,2338,5177.667,2340,5147,2308.667,5119,2255.333,5121,2566,5225,2530,5217,2563,5203,2547,4914,2527,4938,2514,4902,2134,4524,2143,4557,2102,4532,2911,5592,3319,5136,3195,5044,3379,4644,3159,3754,2535,4222,2491,3586,1843,2970,-343.505365424806,452.821959365554,-334.669080546009,418.295983869374,-364.395243719819,379.683067651524,-425.611791846213,370.559600390932,-93.7558810385084,555.518407722218,-133.077470463606,538.703235688568,-92.4715275641592,529.801871298666,-48.9186175949656,196.985055294638,-76.8454818441632,220.063655836941,-83.9656557715624,176.252181828004,-436.263517319513,-335.829576035605,-433.061044825098,-296.292653275168,-474.44685767305,-333.553077892486,221.001581546848,1047.57946244269,783.52579689633,615.072564917379,661.863248446008,483.701254592965,957.104081320728,67.129844069491,896.638422662971,-994.309799443766,85.3564290947911,-594.307231374501,171.185542096519,-1328.61365770384,-435.687566432723,-2169.26214924358,0.25332215412805,0.0705254282172083,0.447390945464343,1.17558730311453,0.445071146034498,2.02092526512629,0.799243559776734,-0.853320793344585,0.396252932538065,0.128967801124788,-0.145124175982768,0.840527942772253,0.0627240387908277,0.347331269722389,0.562184724723253,-0.890697755785803,0.793608452998596,0.0564412360376275,-0.142515911227796,0.488643992337574,0.132340442207373,0.878454623029134,-0.337334223399914,0.396894261249497,-1.03447157588491,0.0620224963632451,-0.585343041511619,-0.0490280720893954,0.48938330591816,0.854417917841083,0.667195155619744,1.6382082824963,0.621135589589245,-0.407768041104786,0.466772700517594,-0.803340710660756,0.434650878897331,0.695264073209148,-0.0707715302312821,-0.775673729435504,4.9826809345177e-13,-1.30739863379858e-12
16118070,2018,0.0620899866685726,0.580111428715358,0.931235441844504,3.23879994436765,5851,4435.5,5861.5,4411.5,5846.5,4376,5795.5,4370,6018.667,4560.667,6001.333,4544.667,6034.667,4543.333,6105.333,4262,6084,4282,6082.667,4243.333,5804,3804.667,5809.333,3858,5769.333,3810,6119,5071,6839,4711,6807,4523,7035,4323,6887,3275,6279,3611,6267,2905,5563,2317,-324.799324095905,383.004343852874,-312.990307981026,355.189808709216,-330.738561437831,314.431701291441,-389.639161130163,308.152920626803,-129.831459005395,525.266078928266,-150.02642434509,507.029290946306,-111.594671023434,505.07111358857,-33.6266466339959,179.682991134993,-57.9811429697662,203.020123369161,-60.0052809585873,158.43709836923,-386.949510463161,-344.027883181397,-380.127072972972,-282.578946010131,-426.868464090238,-337.440351208443,-7.68167457024157,1112.63843062633,818.259725066088,688.341524576943,778.983945003173,471.89879824264,1039.44977295925,238.342858739391,855.552925932412,-968.592571334533,158.494009127733,-573.387544798213,135.768031537537,-1387.56034646922,-683.648707948376,-2056.91944000022,0.251635309945833,1.13517751787747,0.352290149610433,0.180202013230657,0.623275801158571,1.48638488075987,0.0277069664483033,-0.22429030587051,-0.596738687575131,0.769954142237957,-0.0566094294244851,-0.450035264494499,-0.692826991786172,-0.473017210356115,1.08894556622628,0.882046791745571,-1.24848077288649,-0.201680022215565,1.36805303130965,-0.108369127940144,-0.763700450327499,0.128330567922366,0.151972461829125,0.344859010716773,0.652142252901297,-1.68285778004567,-1.09785495716775,-0.751358948913963,0.699821174816338,0.847408551648108,-0.229899539865167,0.782077781013451,1.60460258316647,1.26447950456329,0.470409816877676,1.12318534854909,1.13126004706098,-0.503801722999334,0.0520472281244275,-0.70890983435975,2.04303240991521e-12,1.23634436022257e-12
16118070,2018,0.0540483279337605,0.555644482971763,0.891037307024888,3.38829428443114,9563,4413,9584.334,4393.667,9564.334,4365,9514.334,4360.333,9768.334,4547,9736.334,4524.333,9776.334,4522.333,9851.334,4213.667,9830,4240.333,9830,4193.667,9506,3699,9504.666,3728.333,9479.334,3700.333,9999,5133,10767,4609,10655,4425,10855,4117,10635,3003,9959,3487,10091,2885,9455,2127,-366.588779472131,404.082559971242,-343.510908860965,383.583996941495,-364.646265305747,352.637531095319,-418.199852313352,347.100464990841,-147.887130027236,549.931519822374,-181.951350547741,525.289368724864,-139.047277709033,523.572211969378,-55.3473195796447,193.461827288511,-78.5034661962537,221.821865671141,-78.0053306350814,171.792735871924,-420.075078016646,-361.982506750315,-421.818331553871,-330.549773034937,-448.677074972223,-360.838085819699,93.1472807947645,1180.62566544649,922.089009673464,627.059987998029,803.981488260516,428.603915784697,1021.68284926606,100.541839199506,797.719245342816,-1096.09040739944,67.8347607956416,-584.42540111073,215.773790095827,-1228.40136316135,-457.970259039172,-2047.81795349934,0.304717458342595,0.0843465062128567,0.180849533745355,-0.485264566605878,0.538058184589569,2.085997476943,-0.221456049848435,-1.20810241657864,-0.148255643916058,-0.00372864359218031,-0.870026003168848,-0.140000314857852,-0.432169699073279,-0.580722959699728,0.798084925894072,0.613448818735791,-0.237293831233515,0.353362027495188,0.883720214598914,1.35810282825755,0.133875090449282,-0.975362984145747,0.488279035361228,-0.460290491242926,-0.227793492889909,1.64151730924906,-1.21504990806352,-1.67448113252988,0.0364351271415925,-0.243924472917221,1.15881114063963,1.30428129293389,0.716269938223474,0.184416612357356,-0.358057490287363,-0.115553539143035,0.0659937196081908,-0.506292406708082,2.01521020647089,-0.21500179511399,-1.99462668604156e-12,-8.5265128291212e-13
16113001,2018,0.0538378323725551,0.40595793023538,0.942176118902699,2.94424195442158,2512.667,2608.333,2518.667,2573.667,2489.333,2537,2432,2536.333,2728,2708,2703,2697,2728,2693,2778,2424,2764,2436,2762,2411,2475,2183,2475,2198,2450,2183,3012,3125,3412,2849,3388,2715,3592,2403,3568,1715,2748,2051,2972,1087,2460,505,-359.676928987548,373.951348595117,-353.256253398665,330.486189961841,-391.011264374856,285.613663466905,-462.611152359808,286.550935536482,-87.7602982333781,491.736080538765,-119.311979055234,478.774575036055,-88.2233850592358,473.008830249029,-34.1039078371644,135.623185633566,-51.2122053135653,151.037200236155,-54.4809833952931,119.886861330043,-419.834625358618,-155.906948472537,-419.37153853276,-137.179698182801,-451.046709174846,-155.135137096107,279.682787677808,1003.58586135719,770.555331141657,646.655474003171,736.454821700417,480.099643669566,981.513219662988,84.2748568113862,930.309370120067,-773.940750889811,-83.0738341529674,-329.134931252827,166.825390165302,-1539.58831313935,-490.365855234311,-2250.39892739184,-0.281489206441292,0.226351986068672,1.15422992525005,1.44014823647054,1.39954211995123,0.107730711740372,-0.339572312324346,1.08803429958224,1.84763218868441,1.52906170626776,2.06189579532035,1.93422031729368,0.0431866508955095,2.18947805444065,0.267824971454578,-0.529594246822503,0.96596712017858,-1.24853763145738,1.75958318656045,0.103854542411946,0.137923551687403,0.108535051630092,-2.00752866221558,-0.270724539022972,-3.42282192586824,0.0302636894698547,-0.461037805664873,-0.327648910573517,0.339048690553185,0.776673622733033,0.474820491283448,-0.701517171994891,0.808670953589543,-0.568016272999444,-0.633977155012184,-0.173887458739122,-0.0733769759431635,-0.381624889552665,0.728755579410922,-1.45900810465793,-2.24931184789057e-12,-5.6843418860808e-13
16113001,2018,0.0714247636237709,0.451810719933409,0.97008491591746,2.74744597488655,4775,4225,4809,4210,4778,4187,4729,4175,4949,4285,4927,4276,4951,4267,5089,4025,5074,4037,5067,4011,4797,3646,4795,3688,4771,3645,5201,4682,5627,4340,5612,4238,5759,4037,5885,3467,5102,3686,5303,2897,4799,2417,-402.558507618088,454.783781471536,-356.515009601182,429.924154198062,-402.601030820595,401.111144574465,-472.720648508286,389.752482659229,-151.61610872276,519.524096732119,-183.502703386258,509.354137847172,-150.8236400359,494.035414715991,15.7863568841817,138.917616773956,-3.92450614305796,157.439776770908,-16.6598860669514,121.729651583155,-436.486551580354,-360.36380121195,-434.592708486571,-301.188688927723,-473.092114028322,-358.857231377424,246.527483130428,1048.54752372017,806.181677515021,520.833858293335,773.710833529725,379.345474516816,957.542357758944,80.7679613650421,1070.59621187618,-733.387894350696,-3.91098062218767,-338.358296310795,189.90037308449,-1468.29755253745,-571.240898158465,-2085.61361050592,-0.170843801477393,0.131904589019347,2.05762374633595,1.18463234269331,-0.141712297686678,0.538148595678165,-0.361555934616498,0.499219885601278,-0.339679115195152,0.23982945834477,0.846904780083156,-0.864847931975957,-0.586860471388967,-0.0427014749752877,-0.434728965611377,-0.123741301311117,0.822551465787552,0.584572326734161,-0.0232457015045858,-0.893162288008226,0.23528928757731,0.380920860547556,-0.744963452737788,-0.238803644852242,1.36947388209753,-0.616574969615553,-4.29945983214584,-1.77841479983193,-1.77171306134005,-1.41857162150776,0.441324860945673,1.24214391806986,0.69086165546032,0.578068239670042,-0.469076173903464,-0.939431440294183,1.00100400423327,0.286996930285057,-0.214749501465714,-0.439675721288905,-1.30317978630501e-12,-1.08713038571295e-12
16113001,2018,0.0805375829152015,0.239836054524657,0.959538273346177,2.52314191409854,6946.667,2377.667,6969.333,2355,6950,2332.333,6908,2324.333,7115.333,2511,7099.333,2493.667,7126,2491,7183.333,2252.333,7156.667,2268.333,7164.667,2240.333,6911.333,1873,6911.333,1906.333,6876.667,1871.667,7213,2906,7654,2765,7684,2630,7921,2447,8005,1799,7102,2093,7216,1229,6850,929,-329.621579916677,310.409325060608,-299.662275961171,273.088068315822,-332.03555727461,242.58595706354,-395.668542470347,237.532108841763,-57.6483197694394,480.909398824881,-84.2088953337325,457.782553600315,-45.0642397386354,449.494566796799,1.27517581804688,85.9694067476304,-35.7031901168957,114.045329936426,-28.3762392761258,71.1903678785076,-464.002333414577,-432.852446007528,-458.59023844323,-383.381457060892,-515.668118835056,-429.202283825581,151.437588823644,1051.28882924982,783.051927002216,770.421720863544,805.657058471546,565.191277851026,1127.68660878493,255.112452499463,1147.14256924707,-720.251805593511,-145.304768143385,-137.298200774337,-116.395198507518,-1438.10860717721,-708.301430946029,-1823.92656309109,-0.867167762165539,1.52118321165912,2.33527891207813,-0.369783254755056,-0.814976204220931,0.489264225672235,1.16301238766144,0.423861607890733,1.80977087878281,1.52708418337689,-1.17517627062529,0.977294684647076,-0.513010286328043,0.143653145368315,0.980858608016901,-0.468772929894654,-0.777560161613195,0.147865613617242,-0.382009541661985,-1.43636089705294,-1.64334456844791,0.177730064353203,0.0465798838475824,0.921979902892804,1.44595889525996,-0.117035569294198,-1.37941191252353,-1.25954591167847,-1.45075498966692,0.404790022783988,-0.371369799737358,0.242896727805658,-0.980372064756869,-1.30206692151886,0.475202816874756,1.46612605495422,0.580411235940727,1.21291108866828,0.886153338465991,-0.270661737464678,5.25202104029177e-12,3.09086090055644e-13
16113002,2018,0.0661364920039504,0.280020971429509,0.493440456927787,3.38099356894745,2874.333,4460.333,2888.667,4413.667,2852.667,4380,2799.333,4382,3030,4511,2996,4501,3033,4482,3223,4123.667,3197,4160.333,3195.667,4115,2652,3730.667,2669.333,3773.333,2622,3735.333,3519,5108,4227,4460,3537,4286,4209,3614,3789,2738,2979,3866,2925,2750,2193,2306,-359.133141604111,406.141621854323,-332.934538927794,362.929379605249,-360.547816475259,320.025176635601,-414.587059445976,308.533870719124,-215.708939391575,496.396840778885,-247.304841519476,477.754161903811,-205.357878772921,468.047907506225,76.0448547577561,156.466356146228,40.6677016702521,186.688627544601,50.8034535745509,140.849061628495,-397.618330370953,-382.51974157863,-391.019354964048,-335.307548665053,-428.911250902124,-385.429291037798,124.016067276352,1219.39017823738,998.666367949269,748.165738765116,350.130436710272,398.878206951419,1194.72075398493,-105.547357714655,994.867817132258,-1091.11812309835,-103.650564798154,-163.918372193443,124.606136307782,-1297.75067940082,-497.749872191032,-1928.6760145877,-0.916277178723691,-0.0326518919846626,-0.56272949707048,-0.389588979133083,-1.6158255937197,1.01921578626183,-0.486372797566633,-0.205038837770142,-0.855952920949553,-1.37042325938766,0.483755223187485,-0.252884300230282,1.3436345073163,0.943250260620731,1.66598692124293,0.105699766546718,-0.70980628617441,-0.0530803906355867,-1.02048645907892,1.07244506660996,0.922125272700742,0.865652419483989,-0.25475486590538,1.01552820716862,-0.385387584938644,-0.565795128965283,-0.0347102943005493,-0.971911204213162,-0.436537238744322,-1.12031343540171,-0.414391427493082,0.504351910578949,-0.495362283217331,-1.00490817117721,1.12866707216676,0.530942039584018,1.44241238716558,-0.721409006650061,0.794922430638977,-0.734811171661406,-1.0813572259849e-13,4.9826809345177e-13
16113002,2018,0.0711167711549314,0.224156256083728,0.48704316927405,3.41541641600278,6625,4695.667,6656.333,4663,6625,4616.333,6563,4613,6838,4837,6799.333,4822.333,6850,4807.667,7083.333,4434.667,7056.667,4458.667,7058,4409.333,6589,3953,6586,3980,6547,3950,7376,5508,7988,4944,7316,4728,8140,3976,7892,3166,6840,4242,7168,2922,6444,2456,-402.26762678162,375.297724411518,-368.87420886444,344.786407954756,-397.046103767302,296.190651206498,-458.649391166204,288.786533150178,-199.179000461423,530.245469127967,-236.770060052109,513.075478038488,-185.282716232224,501.786176741966,71.9325861159176,145.21037474065,43.7632543485968,167.386650035235,48.3394555356111,118.281498910644,-389.284565331375,-367.614363274314,-394.053042163522,-340.889044905234,-430.966977734226,-373.370094565015,293.118922770648,1234.73566881879,940.489126990118,712.628915057871,284.627778480267,453.017761228415,1155.76516759091,-242.598041408244,961.78628699435,-1066.60372628001,-158.023627734354,-62.9209602838623,255.916554156719,-1357.55727109549,-435.341812694341,-1869.8758076108,-1.08074646147788,-0.567980549568462,-0.57596110729693,-0.193536667409881,-1.90043313232264,0.921166656445426,-0.491642773389082,0.448184931135708,0.453797168400307,-0.204254109745269,1.07220057871828,-1.31519382477812,2.4538332490729,1.19742004842666,0.120315146726841,-2.05694980134314,0.204899507564016,-1.54148472283032,-1.74513352166341,1.77502871071074,1.01321664039519,0.109303860833626,-0.353144453468365,0.464558225614764,-1.01420661313185,1.19196516955925,-0.271784554993835,-1.34718755056013,-1.33776492530981,0.813230598480343,1.59385728868,-0.165224039941362,-0.141623508694906,0.512697151523987,-1.45164236675847,0.308367255988586,-0.342505814940939,-0.365297218136391,0.262946879736126,-0.895966093833172,-1.2525536163821e-12,-1.3855583347322e-13
16113002,2018,0.0705460224072724,0.282807639321677,0.528976244484446,3.31581905885887,10371.334,5391.667,10399.333,5362.333,10367.334,5317,10311.334,5310.333,10558.333,5549,10534.333,5535.667,10562.333,5530.333,10679.667,5231.667,10642.333,5253,10648,5205,10386,4675,10384,4709,10350,4675,10908,6271,11560,5891,11060,5499,11728,5231,11824,4221,10636,4877,11148,3963,10664,3269,-354.601248500622,381.872295938137,-329.49056721727,345.802399096352,-371.295751052889,302.570314085748,-432.378745356269,304.737989935904,-128.178437893446,519.291164654423,-156.098058057262,509.000892600654,-126.997207230616,498.634339245657,-50.976894921614,159.266784299595,-87.4150362320726,188.319366724247,-89.3239921317901,135.970421427433,-458.013232963921,-388.101091776531,-454.503969140248,-351.355361488983,-496.568497512763,-382.117443930947,366.313157481898,1234.41940946113,1001.4311103853,719.076661575533,400.7860484439,382.358889899053,1071.65546777749,-15.6935450992959,1006.59494201771,-1113.33930586336,-156.693427352292,-213.316328513485,239.729942596096,-1277.29242558518,-393.975603139338,-1940.10542668609,-0.782317678948605,-0.504808455674283,-0.204998385720164,-0.152877993182049,-1.05035097775115,1.01870805277286,0.703167441411037,-2.41186453001882,1.1268651166671,0.629418094563579,0.175290441421273,0.178248490410045,1.40892460605366,0.0815924309654458,-0.404552120761513,-0.111643084806012,0.364826858232701,1.24673384161058,-1.47569208577522,2.0748305960111,-0.446562285509329,0.0246874064129934,-1.21603228957887,-0.444413831150833,0.244048157304983,0.159870016359329,0.86512829481121,-1.99915945465203,-0.662947358684896,-0.374237204289548,-0.123693618674403,0.641773284286139,1.21843530659592,-0.456637473364974,-0.470699092133435,-0.872716301605553,0.19401910020872,0.137674482654086,-1.0747437992088,-1.09555987184301,-2.94891888685811e-12,-7.13207271019201e-13
16113003,2018,0.053289018136859,0.910965116982586,0.918385272314381,4.31792138786957,2901.667,4021,2923,3947.667,2864.333,3923.667,2793.667,3922.333,3245,3966,3197,3984,3236,3942,3380,3360,3353,3390,3338,3342,2786,3165,2795,3204,2729,3165,4605,4410,5103,2964,4797,2802,4815,2298,4293,1386,3873,1470,3621,1182,2649,684,-537.863614297235,465.288781533741,-510.986284513714,424.718064772316,-542.129092206898,398.997857060026,-584.867698785329,384.792901194258,-318.564143793731,496.900323955788,-351.177706929025,498.753598940609,-319.490781286141,480.593542388141,-121.577830532258,153.811620950932,-143.689884406262,166.945544886702,-143.718033842886,134.900574145429,-445.994183463871,-77.4028336983973,-447.910507941574,-51.970424389763,-480.671568879622,-88.206089184829,424.674430407071,1024.7807903793,1001.70680532679,239.456613555919,846.24798868788,82.9034097629412,952.722264172881,-220.306127970089,808.002506569436,-874.079371182056,536.564342789161,-902.578790995709,437.838666566758,-1125.55260472057,-59.1156736414349,-1612.7473813847,1.76727530091385,-2.14678409559649,0.116810799925567,-0.430713467109805,-0.915010735244632,-2.4054238009893,0.55926316009184,2.17975445010945,0.247135812625509,0.17909119795626,-1.00118642410787,-0.222021734359197,-0.346163923281928,-0.463782610417573,-0.4432936547899,0.891166612221494,-1.20300432829241,1.05769595420151,-0.284965724715809,1.7987549686216,-0.0631769864724424,-1.22025766321998,-0.22271843182434,0.615930358072055,-1.1672688963097,0.235164716208054,-0.982146606181689,-1.03430276285092,-2.39796591253319,0.728397095012987,-0.591784822130005,-0.0723424651502232,0.15768193247239,-0.312442127735184,1.41978556239157,-0.564862804265485,-0.00214425564233525,0.0148256548092207,-1.7295808421549,-1.24956002821683,-1.97086791331458e-12,-1.63424829224823e-12
